LSOA11CD,LSOA11NM,area_num,imd2004,imd2007,imd2010,imd2015,imd2019,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022,PTAL_Value_2005,PTAL_Value_2007,PTAL_Value_2015,PTAL_Value_2010,PTAL_Value_2023,PTAL_Value_2012,PTAL_Value_2014,PTAL_Value_2019,PTAL_Value_2020,PTAL_Category_2005,PTAL_Category_2007,PTAL_Category_2015,PTAL_Category_2010,PTAL_Category_2023,PTAL_Category_2012,PTAL_Category_2014,PTAL_Category_2019,PTAL_Category_2020,median_price_2014,median_price_2015,dist_to_nle_station,dist_to_bre_station,treatment,dist,ptal_baseline,imd_baseline,geometry,distance,weights,subclass
E01000091,Barking and Dagenham 022A,247762.2834998872,40.69,48.52,46.83,44.111,42.183,1722,1786,1852,2027,2081,2085,2059,2103,2105,2080,2088,2095,3.773337,4.07262,4.69844,5.276087,6.434192,4.123191,4.268951,6.111071,6.227179,1b,1b,1b,2,2,1b,1b,2,2,202750,220000,16907.981809500303,753.0071318275593,1,753.0071318275593,4.69844,44.111,"list(list(c(546412.353000039, 546518.914999886, 546549.361999844, 546591.880000087, 546596.602999824, 546711.381999895, 546705.762999956, 546735.818999803, 546748.608000081, 546861.929000084, 546898, 546871.235999918, 546488.229999934, 546469.563000076, 546354.000000203, 546050.573000058, 546040.364, 546117.282000186, 546183.880999922, 546228.506999984, 546231.378999963, 546135.937000001, 546115.951000144, 546077.730999833, 546082.00000009, 546117.372000079, 546121.000000189, 546231.241999901, 546241.901999857, 
546446.054000056, 546440.817000197, 546394.358000012, 546412.353000039, 183139.66000011, 183104.641000097, 183134.054999793, 183103.27799994, 183069.538000213, 183028.114000023, 182996.613000154, 182987.260000156, 183025.717000027, 183045.770000124, 182982.000000214, 182888.022999917, 182893.843000146, 182788.708999831, 182781.00100014, 182788.002999879, 182905.580000093, 182902.724000172, 182966.265000121, 183057.168000146, 183165.198000096, 183176.06099992, 183238.269999823, 183246.731000062, 183291.999999851, 
183295.707999817, 183402.08499986, 183380.125999808, 183344.858000191, 183312.324000059, 183256.718000183, 183186.050000048, 183139.66000011)))",0.04476082872687188,1,1
E01000092,Barking and Dagenham 019E,2643463.2828565687,28.47,32.91,27.63,32.714,33.768,2694,2884,3480,3898,4485,4898,5081,5519,5820,6055,6413,6470,1.527104,1.760903,2.50159,2.550549,4.133726,2.273408,2.407316,3.918379,3.917602,1a,1a,1b,1b,1b,1a,1a,1b,1b,186000,167995,15490.800881430363,0,1,0,2.50159,32.714,"list(list(c(545683.166000505, 545745.636000865, 545828.584000262, 545883.184999357, 545562.48199931, 545602.117999993, 545579.000000554, 545520.999999236, 545530.904999219, 545571.910999876, 545549.651999936, 545585.670000865, 545643.915000232, 545689.866999347, 545734.412000845, 545722.299000153, 545950.137999952, 546040.364000126, 546050.572999407, 546353.999999358, 546354.586999189, 546253.080999174, 546498.929000373, 546564.380999174, 546530.710000215, 546570.145000703, 546594.999999447, 546588.40100048, 
546604.746999733, 546576.804999375, 546816.999999459, 546887.000000727, 546985.000000631, 547086.079000839, 547160.339999643, 547422.728000078, 547458.000999607, 547477.832999436, 547619.205000403, 547232.744999288, 547279.516000703, 547293.805000603, 547321.940999073, 547699.340000052, 547960.999999067, 548190.61, 548127.300000449, 548090.699999572, 548043.300000798, 547681.600000634, 547356.700000442, 547119.400000447, 546804.300000806, 546812.70000021, 546442.600000642, 546279.400000198, 545947.700000845, 
545907.399999874, 545767.699999722, 545696.071000008, 545498.699999126, 545470.999999132, 545494.30000033, 545348.892999569, 545286.800000179, 545300.89999998, 545222.499999308, 545182.399999303, 545116.900000122, 545000.099999235, 544926.763000291, 544780.800000101, 544600.000000728, 544448.182, 544751.567000552, 545135.558000287, 545197.209000218, 545515.225000582, 545658.407000654, 545683.166000505, 183348.765000053, 183315.500000267, 183323.955000264, 183227.165000309, 183152.394999487, 183126.113999076, 
183074.00000057, 183057.000000796, 183021.343999314, 183025.932000853, 182995.560000827, 182955.330000101, 182976.488999406, 182908.210999663, 182952.725000758, 183000.830999218, 183040.888000596, 182905.579999801, 182788.002999756, 182781.000999301, 182699.136999788, 182622.401000491, 182637.185999344, 182642.112000138, 182618.703000725, 182600.30599936, 182563.000000668, 182542.999999504, 182451.361999957, 182011.31300093, 182131.000000594, 182234.999999537, 182258.000000221, 182396.316999204, 
182325.868999365, 182417.044999918, 182444.9999996, 182555.489000066, 182400.459999857, 182984.683999832, 182975.615000256, 183032.234999961, 183028.680999469, 182941.283000565, 182740.999999616, 182655.64699997, 182155.599999649, 182170.400000024, 182138.800000842, 182202.699999781, 182142.799999578, 182034.69899938, 181795.899999789, 181760.200000452, 181588.799999699, 181549.298999622, 181608.50000035, 181590.099999429, 181631.799999676, 181697.381999198, 181865.899999186, 182075.700000153, 182264.699999835, 
182415.607000027, 182494.69999919, 182764.899999969, 182935.399999181, 182885.699999591, 182868.399999304, 182950.400000522, 182918.942000286, 182857.599999536, 182980.500000881, 183040.246000171, 183165.43100081, 183284.206999938, 183302.923000253, 183406.478000181, 183443.993000378, 183348.765000053)))",0.0438806522727661,1,2
E01000094,Barking and Dagenham 022C,600238.1005848618,39.51,38.99,31.81,31.643,28.182,1338,1347,1398,1682,2120,2189,2250,2284,2294,2326,2460,2604,1.829773,1.951781,3.08911,3.127701,6.324114,2.453282,2.827185,5.410364,5.409634,1a,1a,1b,1b,2,1a,1b,2,2,139000,199000,17047.76032423633,63.71890063924372,1,63.71890063924372,3.08911,31.643,"list(list(c(546934.999999906, 546949.91099994, 547020.506999854, 547028.135000143, 547028.45500019, 546957.091000162, 546949.805999914, 547109.697999746, 547422.728000155, 547160.340000213, 547086.078999986, 546984.999999775, 546886.999999851, 546816.999999905, 546576.805000134, 546604.746999682, 546588.400999726, 546594.999999892, 546570.145000069, 546530.709999809, 546564.381000138, 546498.928999943, 546253.080999845, 546354.586999988, 546353.99999971, 546469.563000023, 546488.230000092, 546871.236000202, 
546898.000000118, 546861.928999755, 546748.608000278, 546757.631000081, 546716.000000258, 546673.879000102, 546739.001999916, 546732.876999921, 546940.850000232, 547045.622000077, 547018.894999815, 546934.999999906, 183149.017999847, 183106.779999864, 183112.279000068, 183059.979999827, 183028.364000276, 183005.570000166, 182961.999999785, 182898.525000054, 182417.044999848, 182325.869000053, 182396.317000066, 182258.000000052, 182235.000000253, 182131.000000242, 182011.313, 182451.36199985, 182543.000000016, 
182563.000000092, 182600.306000267, 182618.702999995, 182642.111999703, 182637.186000117, 182622.401000243, 182699.137000064, 182781.001000084, 182788.708999902, 182893.843000062, 182888.023000203, 182981.999999861, 183045.769999786, 183025.716999893, 183058.206999835, 183058.999999802, 183134.287000041, 183174.103999855, 183297.81, 183284.315000257, 183272.254999792, 183163.776000009, 183149.017999847)))",0.024042855355757495,1,3
E01000096,Barking and Dagenham 022D,598650.0700159821,47.08,52.77,51.18,44.221,40.926,1903,1778,1466,1304,1667,1759,1800,1795,1828,1858,1672,1623,3.886507,3.340916,3.51993,4.164884,5.304504,3.325254,3.31758,5.421446,5.394105,1b,1b,1b,1b,2,1b,1b,2,2,249995,275000,17274.838608755796,866.88874741102,1,866.88874741102,3.51993,44.221,"list(list(c(547627.310999774, 547659, 547336.42900034, 547329.177000019, 547248.129999921, 546950.917000249, 546940.849999967, 546732.87700019, 546739.002000306, 546673.879000002, 546715.999999994, 546757.631000177, 546748.608000148, 546735.818999912, 546705.763000217, 546711.382000007, 546596.602999781, 546591.880000297, 546549.361999786, 546518.915000035, 546412.353000023, 546394.358000317, 546440.8170002, 546446.05399991, 546241.902000283, 546231.242000132, 546224.169, 546356.666000068, 546349.493000107, 
546658.568000186, 546695.088000343, 546835.937999647, 546838.243999768, 546977.159999694, 546980.83500005, 547292.948000089, 547479.984999798, 547627.310999774, 183859.245999859, 183579.000000157, 183563.595000259, 183510.073000299, 183464.763000168, 183392.472000289, 183284.31499981, 183297.810000032, 183174.104000015, 183134.286999989, 183058.999999806, 183058.207000279, 183025.716999908, 182987.260000141, 182996.612999821, 183028.11399988, 183069.537999864, 183103.277999893, 183134.055000013, 
183104.640999666, 183139.660000156, 183186.049999733, 183256.717999853, 183312.324000011, 183344.858000192, 183380.125999819, 183480.328000224, 183640.249999883, 183647.207999745, 183648.898999733, 183841.99999987, 183854.374999709, 183828.447000193, 183847.154999707, 183847.231999912, 183854.042999904, 183856.903999829, 183859.245999859)))",0.10685755957508135,1,4
E01000021,Barking and Dagenham 008A,171351.20304847322,34.91,33.87,34.03,40.821,38.888,1588,1603,1624,1662,1682,1715,1711,1728,1756,1753,1671,1697,5.417654,4.804154,4.86539,4.922121,6.075913,4.829214,4.829214,6.277167,6.277167,2,1b,1b,1b,2,1b,1b,2,2,194500,223000,18611.923429099737,3547.4054942577177,0,3547.4054942577177,4.86539,40.821,"list(list(c(546854.999999954, 546805.431999967, 546875.645999952, 546897.890999931, 547017.009999858, 547097.040999942, 547062.36100005, 546973.478000093, 546957.704000097, 546828.390999831, 546863.087999905, 546873.191000162, 546816.000000078, 546894.845000038, 546838.415999918, 546700.395000013, 546655.17000007, 546691.040000004, 546727.097999981, 546713.017000164, 546662.257000175, 546659.816999903, 546615.975000119, 546705.679000069, 546562.005000059, 546591.190000146, 546602.356000041, 546801.789000094, 
546854.999999954, 186317.999999997, 186233.265000009, 186236.677999992, 186166.180999966, 186299.316999958, 186238.533999842, 186160.192000018, 186078.778000128, 186055.845000086, 185889.548999857, 185859.097000064, 185795.431000079, 185746.999999983, 185738.342000029, 185682.375, 185708.735999895, 185735.133999917, 185881.612000174, 185928.395999859, 185975.105999994, 185968.7699999, 186017.387000079, 186050.604999838, 186165.458999892, 186296.620000171, 186338.565999864, 186386.71, 186356.674999983, 
186317.999999997)))",0.024305730205895597,0.7000000000000001,3
E01000034,Barking and Dagenham 003A,514944.3666837956,29.05,33.72,31.4,36.958,35.895,1436,1504,1517,1511,1502,1563,1592,1602,1640,1634,1606,1642,2.651252,3.288666,3.51145,3.535357,3.75175,3.483832,3.490583,3.551031,3.551031,1b,1b,1b,1b,1b,1b,1b,1b,1b,212500,238750,21839.192454723474,5009.0344508515245,0,5009.0344508515245,3.51145,36.958,"list(list(c(550836.569000131, 550783.084000072, 550895.298999832, 550908.000000273, 550969.999999963, 551007.714999855, 551072.547000082, 551073.187999836, 551161.854000164, 551163.63899976, 551177.985000091, 551027.999999993, 551080.371000189, 551182.668999728, 551217.665000033, 551231.462, 551036.933999888, 550924.460999964, 550959.999999938, 551023.323999923, 551057.008000158, 550803.260999937, 550723.681000018, 550682.058999874, 550508.893000236, 550519.236000268, 550523.586000066, 550395.920999716, 
550406.222000129, 550272.848000197, 550244.136999761, 550170.999999752, 550134.682999791, 550106.50800006, 550120.95499995, 550075.968999807, 550100.000000098, 550064.579, 550083.729999901, 550141.214000184, 550140.014999897, 550167.074999747, 550299.434999939, 550294.999999716, 550324.105999966, 550350.356999832, 550380.524000119, 550414.102000118, 550429.240000116, 550413.720999983, 550463.934000015, 550763.563000242, 550836.569000131, 186925.715000141, 186820.91499983, 186887.530000197, 186727.999999845, 
186742.000000114, 186814.15899989, 186853.43399983, 186920.561999888, 186921.999999985, 186917.79199993, 186884.633000194, 186744.000000235, 186682.254000052, 186700.34900001, 186701.952999716, 186651.10600006, 186596.721000064, 186640.510999976, 186442.332999758, 186417.192000263, 186269.190999987, 186154.341999899, 186266.415999935, 186428.820999879, 186412.226000012, 186208.509999915, 186034.526000125, 186021.493999901, 185898.109999807, 185953.075000166, 185994.018999862, 185971.000999875, 185957.303000012, 
185984.510000282, 186019.777999848, 186039.450000173, 186064.999999744, 186096.364000281, 186125.561999921, 186101.650000108, 186225.429000016, 186262.376000109, 186255.260999862, 186374.999999944, 186374.318000006, 186269.708999771, 186429.955000116, 186480.956999757, 186734.063000223, 186968.578000193, 186964.396000041, 186932.786000147, 186925.715000141)))",0.03829092995677729,0.7000000000000001,2
E01000061,Barking and Dagenham 006C,605528.2145890445,53.75,58.28,51.26,56.571,46.283,1792,1824,1868,1835,1854,1865,1983,1882,1869,1872,1930,1959,5.918149,6.012922,7.36381,6.262759,7.46427,6.869372,7.137021,7.649815,7.649815,2,2,2,2,2,2,2,2,2,152000,166000,21297.67861557919,5155.797614993532,0,5155.797614993532,7.36381,56.571,"list(list(c(549819.930000018, 549950.750000318, 550250.885999717, 550392.624999781, 550410.973000014, 550413.720999722, 550429.24, 549735.496000031, 549700.453999768, 549710.046000111, 549527.000000046, 549504.001000228, 549354.167000267, 549241.172999909, 549133.00000016, 549149.803000018, 549144.212999737, 549128.658, 549134.96200029, 549138.655999775, 549145.829999682, 549418.624999754, 549547.199000286, 549819.930000018, 187080.678999855, 186961.062000259, 187148.610000032, 187189.046999765, 
187021.319999729, 186968.577999908, 186734.062999929, 186769.444000143, 186722.488999757, 186555.558000125, 186740.999999981, 186764.999999888, 186733.047000227, 186727.419000193, 186785.000000028, 186852.181000086, 186911.805999794, 186912.549000181, 186976.06499983, 187195.189000211, 187382.909000003, 187442.468999875, 187336.799000099, 187080.678999855)))",0.03754885275780152,0.7000000000000001,2
E01000072,Barking and Dagenham 017E,522560.12320151925,35.39,39.22,42.4,44.336,41.016,2006,2088,2087,2118,2112,2125,2117,2158,2128,2152,2142,2135,4.019303,4.061688,3.4708,3.786757,4.841395,3.250168,3.207689,5.204638,5.204638,1b,1b,1b,1b,1b,1b,1b,2,2,191248.75,220000,17527.359368788315,2255.3777279942046,0,2255.3777279942046,3.4708,44.336,"list(list(c(546639.000000062, 546671.661999789, 546705.763999818, 546767.621999837, 546739.940000199, 546780.023000072, 546779.469000099, 546678.823999905, 546738.582999985, 546741.602000117, 546845.812999768, 546822.51999983, 546840.730000064, 546857.685000155, 546776.977999792, 546775.800000071, 546863.096000118, 546926.09699997, 546963.314000056, 546965.382000203, 546979.232, 546923.96200012, 546613.155999804, 546194.092999801, 546131.124999789, 546126.064000138, 546029.099000238, 546021.813, 
546139.519999996, 546218.062999809, 546338.368999848, 546383.688999792, 546381.42300013, 546635.466999966, 546639.000000062, 185244.000000184, 185212.738999818, 185236.394999904, 185207.431999972, 185055.892000218, 185013.971000007, 184987.000999848, 184960.014000235, 184915.908999948, 184858.189999817, 184788.878999837, 184763.578999789, 184741.301999969, 184717.54299979, 184653.887999945, 184610.322999771, 184594.756000163, 184620.240999891, 184516.941000216, 184504.615999901, 184428.738999835, 
184420.050000188, 184373.835000175, 184308.608000191, 184298.500999816, 184365.125000021, 184537.387999891, 184578.546999895, 184777.759999919, 184945.765999924, 184984.904999982, 185027.326999844, 185104.330999836, 185138.317999961, 185244.000000184)))",0.11231149873594923,3.5,4
E01000073,Barking and Dagenham 012B,282928.59829284996,31.28,34.01,36.42,39.507,38.757,1618,1646,1722,1748,1780,1786,1799,1788,1791,1742,1853,1864,4.141864,3.38168,3.68102,3.647,4.901926,3.167087,3.638961,5.116632,5.116632,1b,1b,1b,1b,1b,1b,1b,2,2,193500,237500,18087.595767339993,2606.4551869747665,0,2606.4551869747665,3.68102,39.507,"list(list(c(547033.584999819, 546966.486000106, 546963.203000093, 546904.019999926, 546926.490999901, 546875.023000205, 546981.64399992, 547043.923, 547011.99399996, 546840.72999985, 546822.520000171, 546845.812999943, 546741.601999828, 546738.583000109, 546678.823999968, 546779.468999902, 546780.023000067, 546739.940000196, 546767.62200021, 546705.763999883, 546671.661999829, 546638.999999925, 546635.466999889, 546381.42300013, 546318.355999802, 546181.625, 546406.969000044, 546644.109999861, 546806.186999903, 
546814.495999956, 547033.584999819, 185348.361999857, 185224.529999858, 185192.552000166, 185143.564000129, 185087.246999992, 185010.681999812, 185016.726999818, 184930.49599993, 184863.687999923, 184741.301999943, 184763.579000115, 184788.879000206, 184858.189999947, 184915.909000055, 184960.014000103, 184987.001000002, 185013.971000126, 185055.891999825, 185207.431999848, 185236.395000021, 185212.738999954, 185244.000000153, 185138.317999845, 185104.331000163, 185289.200999931, 185509.672000057, 
185502.462999933, 185450.024999923, 185404.514999969, 185402.492000141, 185348.361999857)))",0.04891605469049215,1.1666666666666665,1
E01000367,Bexley 010A,262305.00429738685,32.09,34.98,37.59,31.962,30.905,1581,1542,1478,1498,1739,1995,2074,2117,2167,2196,2303,2306,2.20239,3.65459,3.20996,3.05,4.10281,3.253547,3.49041,4.048519,4.048519,1a,1b,1b,1b,1b,1b,1b,1b,1b,200748.75,194450,20883.926009888528,6195.828457735668,0,6195.828457735668,3.20996,31.962,"list(list(c(551178.578000158, 551221.017000212, 551357.498999822, 551378.055000006, 551496.224999967, 551493.307999999, 551490.224000211, 551572.676999942, 551577.164000092, 551582.726000051, 551570.411999871, 551570.891999798, 551579.374999942, 551531.563000206, 551528.247000148, 551465.334000172, 551472.217000231, 551448.000000119, 551485.000000111, 551445.085000014, 551364.746999852, 551360.66900009, 551275.762000011, 551152.961999903, 551036.206000037, 551021.059999943, 550925.850999949, 550936.446999801, 
550995.323000145, 551104.756000224, 551080.870999893, 551027.413000073, 550956.544000089, 550965.146999845, 551008.999999993, 551145.906999873, 551227.631000089, 551185.295999765, 551200.8960001, 551215.871000155, 551178.578000158, 177197.839999833, 177121.181999768, 177123.054999759, 177124.85700021, 177129.128999904, 177188.382999814, 177219.417000101, 177225.323, 177236.553000005, 177132.364000125, 176837.580000139, 176817.794000095, 176684.156000063, 176682.858999786, 176582.829, 176583.121000075, 
176737.835999855, 176763.999999784, 176792.999999844, 176815.633000247, 176812.35200024, 176757.161000141, 176863.220000219, 176867.168000073, 176920.136000163, 176955.958999983, 176996.402000147, 177024.285999773, 177033.103000054, 177146.247000063, 177191.254999927, 177285.54600013, 177291.136000131, 177342.747000139, 177500.999999948, 177570.903, 177383.132999796, 177343.089000216, 177321.389999981, 177224.889999789, 177197.839999833)))",0.02299152277481559,0.7000000000000001,3
E01000431,Bexley 008D,147161.40556675335,37.28,35.58,41.06,38.79,36.113,1681,1728,1724,1824,1848,1877,1927,1697,1502,1417,1201,1275,3.95363,4.630641,3.88447,5.112941,6.520388,3.813197,3.767742,6.160175,6.160175,1b,1b,1b,2,2,1b,1b,2,2,179250,218000,21532.18752907706,6512.604388601895,0,6512.604388601895,3.88447,38.79,"list(list(c(551782.000000019, 551961.000000086, 551770.07999982, 551774.990999976, 551776.889000044, 551737.779999817, 551753.604999965, 551720.675000043, 551582.726000191, 551577.164000143, 551576.690999914, 551583.81799987, 551582.937999881, 551584.312999863, 551665.363000187, 551674.565999873, 551716.41999992, 551716.999999984, 551795.157999903, 551796.037000098, 551756.176999874, 551749.43899987, 551802.096999911, 551901.649999941, 551904.135999987, 551901.5439999, 551891.001000053, 551786.14, 
551814.999999977, 551769.999000099, 551782.000000019, 177204.000999807, 176992.999999869, 176967.902, 176973.824999908, 177005.90899987, 177011.193999943, 177122.698999829, 177143.731000102, 177132.364000059, 177236.552999856, 177239.385000118, 177438.774999881, 177457.141000074, 177509.141000102, 177516.841000001, 177709.730000163, 177720.720999918, 177752.00000007, 177752.977, 177718.338999936, 177712.541999855, 177596.758999897, 177513.98399981, 177505.276000118, 177430.189999851, 177404.005000054, 
177354.000000035, 177265.49700011, 177253.00000001, 177217.999999901, 177204.000999807)))",0.03784431437454615,0.7000000000000001,2
E01001576,Greenwich 003B,240460.55101776402,50.33,49.54,50.58,42.239,39.498,1742,1763,1779,1805,1855,1846,1846,1884,1852,1839,2001,1961,4.152687,4.170416,4.19249,3.951282,5.209301,3.955727,3.955728,5.504295,5.504295,1b,1b,1b,1b,2,1b,1b,2,2,162500,250250,16195.783874017325,2282.1864043033866,0,2282.1864043033866,4.19249,42.239,"list(list(c(546836.973999826, 546877.455000027, 546916.976999905, 546949.567, 546907.859000005, 546750.319999918, 546794.480000067, 546729.999999846, 546596.000000134, 546501.19999988, 546476.000000198, 546450.000000136, 546422.000000165, 546389.99999996, 546354.677000173, 546271.505000206, 546229.449999793, 546176.594999874, 546114.731, 546123.063000136, 546159.909000003, 546246.027000136, 546478.845999951, 546538.545000008, 546799.926999835, 546836.973999826, 179854.048000173, 179674.831999976, 
179705.065999794, 179646.773000058, 179627.755999909, 179545.067999869, 179408.539000156, 179354.999999901, 179268.000000126, 179213.600999827, 179258.000000166, 179306.000000057, 179289.999999954, 179349.000000176, 179360.162000016, 179314.923999932, 179379.450000035, 179341.491000152, 179353.473999838, 179468.856999801, 179487.744999838, 179533.329999922, 179659.356000133, 179692.086999854, 179833.944999858, 179854.048000173)))",0.049704053522357926,1.1666666666666665,1
E01001649,Greenwich 022D,331820.8938892633,35.5,38.45,39.03,31.567,35.196,1537,1552,1561,1586,1619,1642,1576,1588,1580,1548,1573,1571,1.626445,1.521918,2.25407,2.602453,3.469055,2.036197,2.228418,3.629062,3.665086,1a,1a,1a,1b,1b,1a,1a,1b,1b,271250,291000,11502.687343254522,7517.448118520861,0,7517.448118520861,2.25407,31.567,"list(list(c(541750.202000162, 541826.555000016, 541920.949000073, 541973.981000086, 542106.792999805, 542069.84199981, 542105.745999952, 542109.999999886, 542162.095000129, 542125.976999976, 542118.681999914, 541865.927999914, 541799.875000108, 541727.812999962, 541735.98999995, 541726.067000181, 541689.264000068, 541588.602000074, 541493.378999884, 541469.069000111, 541460.988999871, 541495.259999999, 541474.196000133, 541558.209000019, 541527.230999829, 541662.084999882, 541613.887999835, 541575.78099993, 
541561.053999814, 541567.353000158, 541750.202000162, 176456.202, 176401.781999996, 176450.762000169, 176307.133000052, 176341.675000086, 176273.310000067, 176088.827000023, 176089.999999978, 175906.098999992, 175889.101999958, 175887.201000115, 175828.298000173, 175813.04699992, 175747.391000123, 175672.882999849, 175669.09, 175694.594999901, 175771.28999992, 175847.319000074, 175864.09399989, 175931.42700005, 175973.375999887, 176009.140999986, 176058.093999856, 176133.175999982, 176199.138999828, 
176290.177999921, 176280.337999932, 176354.789999943, 176357.298000096, 176456.202)))",0.044665676321579674,1.1666666666666665,1
